q(nm^-1),Intensity
0.01343,794.5432315
0.01344,858.2699678
0.01345,774.2227974
0.01346,828.0894534
0.01347,823.6842765
0.01348,763.2013344
0.01349,743.0759164
0.0135,894.857074
0.01351,759.6064952
0.01352,796.5855145
0.01353,758.5044695
0.01354,781.7463987
0.01355,801.351865
0.01356,787.2105627
0.01357,773.5699518
0.01358,759.4098714
0.01359,837.9768167
0.0136,756.9099678
0.01361,771.7996141
0.01362,765.7092765
0.01363,755.0741801
0.01364,724.5444695
0.01365,797.345209
0.01366,775.7965756
0.01367,760.4079582
0.01368,721.5812701
0.01369,743.2113987
0.0137,743.4251286
0.01371,728.6036817
0.01372,788.5141158
0.01373,712.5940997
0.01374,763.6447428
0.01375,762.2498714
0.01376,689.9517846
0.01377,775.8117846
0.01378,709.1090514
0.01379,758.9026849
0.0138,685.283746
0.01381,703.3117524
0.01382,728.4670418
0.01383,764.1261254
0.01384,668.1869132
0.01385,761.8035691
0.01386,680.1438424
0.01387,744.1793569
0.01388,689.7232154
0.01389,696.4687781
0.0139,744.9088746
0.01391,713.9912379
0.01392,697.2873473
0.01393,734.3755949
0.01394,719.8799839
0.01395,678.0736013
0.01396,746.8912379
0.01397,719.7852251
0.01398,762.9449035
0.01399,739.8539711
0.014,696.8023473
0.01401,749.3036334
0.01402,670.233537
0.01403,715.9287621
0.01404,683.97
0.01405,712.1189711
0.01406,627.3965113
0.01407,660.9909325
0.01408,650.8513826
0.01409,720.793119
0.0141,692.6780707
0.01411,636.9642926
0.01412,732.5898553
0.01413,685.1164469
0.01414,682.647074
0.01415,663.0769293
0.01416,690.8523473
0.01417,646.5207878
0.01418,656.5490193
0.01419,696.5356913
0.0142,657.202299
0.01421,625.756865
0.01422,667.9406109
0.01423,625.5608521
0.01424,648.6222347
0.01425,658.2885048
0.01426,718.3780868
0.01427,652.0137621
0.01428,647.0091479
0.01429,604.8301929
0.0143,614.3966077
0.01431,597.7890675
0.01432,615.4060932
0.01433,630.6908842
0.01434,585.3311415
0.01435,606.1515273
0.01436,693.7648232
0.01437,625.1607395
0.01438,650.6525563
0.01439,640.8015595
0.0144,639.9736013
0.01441,613.5315595
0.01442,647.5755949
0.01443,655.2958039
0.01444,677.4783441
0.01445,583.1817203
0.01446,609.7990997
0.01447,590.4581029
0.01448,584.1496785
0.01449,679.4923312
0.0145,617.3890032
0.01451,630.5548553
0.01452,574.2327653
0.01453,609.5765434
0.01454,642.5324598
0.01455,627.917508
0.01456,596.0208682
0.01457,670.7752572
0.01458,592.7888103
0.01459,576.1710129
0.0146,613.9491479
0.01461,595.9699678
0.01462,570.1734727
0.01463,616.798955
0.01464,613.8050322
0.01465,613.4471061
0.01466,612.5086495
0.01467,660.1022026
0.01468,611.9230064
0.01469,605.4946302
0.0147,615.0305788
